filename,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,human_familiarity
carbonara.png,71.48,31.76,70.76,11.67,48.83,4.39,3.72,47.22,36.72,11.78,3.81
carrot-cooked.png,37.55,69.4,58.1,51.64,26.71,8.93,13.93,37.36,10.64,8.71,3.25
carrot-raw.png,26.2,91.96,64.56,30.25,14.38,12.71,16.33,24.04,11.92,11.46,4.32
cashews.png,53.91,74.65,63.17,23.32,43.27,5.77,9.32,37.23,33.41,5.59,4.0
casserole.png,73.0,48.0,55.3,9.45,35.27,6.27,7.91,49.27,47.36,11.45,2.7
cauliflower-prepared.png,29.4,82.85,54.45,12.32,18.0,6.11,9.16,16.74,9.58,7.84,3.8
cauliflower-raw.png,22.04,88.74,51.43,17.27,12.59,8.36,14.05,23.55,12.91,9.09,4.22
celery.png,13.57,86.24,50.1,8.33,6.56,5.83,14.06,12.94,2.0,1.78,3.67
cereal-flakes.png,44.48,52.33,53.38,26.0,14.58,1.42,3.16,12.26,5.68,4.68,3.57
chapati.png,49.33,54.48,63.7,16.1,23.95,6.43,6.24,23.43,16.1,6.52,3.67
chayote.png,28.42,79.47,34.0,8.6,1.4,11.2,2.2,11.0,18.4,3.2,1.79
cheese-brie.png,77.68,36.72,70.84,47.48,42.0,16.17,12.91,39.83,48.09,9.17,3.84
cheese-cheddar.png,78.41,36.65,60.47,18.93,36.87,2.67,4.6,29.2,37.87,1.13,3.59
cheese-feta.png,60.0,56.06,59.67,18.4,40.27,14.33,7.53,36.47,34.47,11.07,3.56
cheese-mozzarella.png,59.54,49.04,57.46,25.37,15.79,9.0,6.21,26.37,30.63,4.58,3.19
cheesecake.png,82.86,25.0,72.05,80.32,10.58,7.95,5.26,18.68,38.95,5.11,3.62
