Food,Category,Natural_vs_transformed,Sweet_vs_savory,Prep Form,Additional Prompt
Ground beef,Protein,Natural,Savory,,
Guava,Fruit,Natural,Sweet,,
Gyoza,Dish,Natural,Savory,,
Ham,Protein,Natural,Savory,,
Hamburger,Dish,Transformed,Savory,,
Honeydew,Fruit,Natural,Sweet,,
Hot dog,Dish,Natural,Savory,,
Ice cream,Dessert,Transformed,Sweet,,
Injera,Grain,Natural,Savory,,
Jackfruit,Fruit,Natural,Sweet,,
Jalapeno,Vegetable,Natural,Savory,,
Jelly,Dessert,Natural,Sweet,,
Kale (prepared),Vegetable,Natural,Savory,,
Katsu,Dish,Natural,Savory,,
Kidney beans,Protein,Natural,Savory,,
Kimchi stew,Dish,Transformed,Savory,,
Kiwi,Fruit,Natural,Sweet,,
Kohlrabi,Vegetable,Natural,Savory,,
Kumquat,Fruit,Natural,Sweet,,
Laksa,Dish,Natural,Savory,,
Lamb chop,Protein,Natural,Savory,,
Lasagna,Dish,Transformed,Savory,,
Lavash,Grain,Natural,Savory,,
Leek,Vegetable,Natural,Savory,,
Lemon,Fruit,Natural,Sweet,,
Lentil stew,Dish,Transformed,Savory,,
Lentils,Protein,Natural,Savory,,
Lettuce,Vegetable,Natural,Savory,,
Lima beans,Protein,Natural,Savory,,
Lime,Fruit,Natural,Sweet,,
Lobster,Protein,Natural,Savory,,
Lollipop,Dessert,Natural,Sweet,,
Lotus root,Vegetable,Natural,Savory,,
Lychee,Fruit,Natural,Sweet,,
Mac and cheese,Dish,Natural,Savory,,
Macaroni pasta,Grain,Natural,Savory,,
Mackerel,Protein,Natural,Savory,,
Mandarin,Fruit,Natural,Sweet,,
Mango (raw),Fruit,Natural,Sweet,,
Matzo,Grain,Natural,Savory,,
Meatballs,Dish,Natural,Savory,,
Meatloaf,Dish,Transformed,Savory,,
Microgreens,Vegetable,Natural,Savory,,
Milk chocolate,Dessert,Transformed,Sweet,,
Miso soup,Dish,Transformed,Savory,,
Mortadella,Protein,Transformed,Savory,,
Muesli,Grain,Natural,Sweet,,
Muffin,Dessert,Transformed,Sweet,,
Muffin (English),Grain,Transformed,Savory,,
Mulberry,Fruit,Natural,Sweet,,
Mushrooms (button),Vegetable,Natural,Savory,,
Mussels,Protein,Natural,Savory,,
Mustard greens,Vegetable,Natural,Savory,,
Naan,Grain,Natural,Savory,,
Nachos,Dish,Natural,Savory,,
Napa cabbage,Vegetable,Natural,Savory,,
Nasi goreng,Dish,Natural,Savory,,
Navy beans,Protein,Natural,Savory,,
Nectarine,Fruit,Natural,Sweet,,
Noodles (wheat),Grain,Transformed,Savory,,
Oats,Grain,Natural,Savory,,
Octopus,Protein,Natural,Savory,,
Okra,Vegetable,Natural,Savory,,
Olive,Fruit,Natural,Savory,,
Omelette,Dish,Natural,Savory,,
Onion (prepared),Vegetable,Natural,Savory,,
Onion (raw),Vegetable,Natural,Savory,,
Orange,Fruit,Natural,Sweet,,
Oysters,Protein,Natural,Savory,,
Pad Thai,Dish,Natural,Savory,,
Paella,Dish,Natural,Savory,,
Pancake,Grain,Transformed,Sweet,,
Paneer,Protein,Natural,Savory,,
Papaya,Fruit,Natural,Sweet,,
Parsnip,Vegetable,Natural,Savory,,
Passionfruit,Fruit,Natural,Sweet,,
Pasta (spaghetti),Grain,Transformed,Savory,,
Pastry,Dessert,Natural,Sweet,,
Peach (prepared),Fruit,Natural,Sweet,,
Peach (raw),Fruit,Natural,Sweet,,
Pear (prepared),Fruit,Natural,Sweet,,
Pear (raw),Fruit,Natural,Sweet,,
Peas,Protein,Natural,Savory,,
Penne,Grain,Natural,Savory,,
Persimmon,Fruit,Natural,Sweet,,
Pesto chicken,Dish,Transformed,Savory,,
Pesto pasta,Dish,Transformed,Savory,,
Pho,Dish,Natural,Savory,,
Pickled cucumber,Vegetable,Transformed,Savory,,
Pineapple (prepared),Fruit,Natural,Sweet,,
Pineapple (raw),Fruit,Natural,Sweet,,
Pinto beans,Protein,Natural,Savory,,
Pita,Grain,Natural,Savory,,
Pizza,Dish,Transformed,Savory,,
Plain Bagel ,Dish,Transformed,Savory,,
Plantain,Fruit,Natural,Sweet,,
Plum (prepared),Fruit,Natural,Sweet,,
Plum (raw),Fruit,Natural,Sweet,,
Polenta,Grain,Natural,Savory,,
Polenta cake,Grain,Transformed,Sweet,,
Pomegranate,Fruit,Natural,Sweet,,
Popcorn,Grain,Natural,Savory,,
Pork chop,Protein,Natural,Savory,,
Portobello mushrooms,Vegetable,Natural,Savory,,
Potato (prepared),Vegetable,Natural,Savory,,
Potato chips,Grain,Transformed,Savory,,
Potato salad,Dish,Transformed,Savory,,
Prawns,Protein,Natural,Savory,,
Pretzel,Grain,Natural,Savory,,
Prosciutto,Protein,Natural,Savory,,
Prune,Fruit,Natural,Sweet,,
Pudding,Dessert,Transformed,Sweet,,
Puff pastry,Grain,Natural,Savory,,
Pumpkin,Vegetable,Natural,Savory,,
Pumpkin pie,Dessert,Transformed,Sweet,,
Pumpkin soup,Dish,Transformed,Savory,,
Quail eggs,Protein,Natural,Savory,,
Quesadilla,Dish,Natural,Savory,,
Quinoa,Grain,Natural,Savory,,
Radicchio,Vegetable,Natural,Savory,,
Radish,Vegetable,Natural,Savory,,
Raisin,Fruit,Natural,Sweet,,
Ramen,Dish,Natural,Savory,,
Raspberry,Fruit,Natural,Sweet,,
Rendang,Dish,Natural,Savory,,
Rice (brown),Grain,Transformed,Savory,,
Rice (white),Grain,Transformed,Savory,,
Rice noodles,Grain,Transformed,Savory,,
Risotto,Dish,Natural,Savory,,
Roast beef,Dish,Transformed,Savory,,
Roast chicken,Dish,Transformed,Savory,,
Roast lamb,Dish,Transformed,Savory,,
Rocket (arugula),Vegetable,Natural,Savory,,
Rockmelon (cantaloupe),Fruit,Natural,Sweet,,
Rogan josh,Dish,Natural,Savory,,
